gene_symbol,ensembl_id,chr,start,end,strand
RNU6-777P,ENSG00000201135,1,12077881,12077984,-
MIR7846,ENSG00000283789,1,12166943,12167038,+
TNFRSF1B,ENSG00000028137,1,12166977,12209228,+
MIR4632,ENSG00000263676,1,12191713,12191773,+
VPS13D,ENSG00000048707,1,12230030,12512047,+
SNORA59A,ENSG00000239149,1,12507246,12507397,+
LINC02766,ENSG00000229484,1,12525549,12540875,+
DHRS3,ENSG00000162496,1,12567909,12620133,-
RNU6ATAC18P,ENSG00000221340,1,12569972,12570072,-
MIR6730,ENSG00000276830,1,12578957,12579023,-
AADACL4,ENSG00000204518,1,12644085,12667076,+
AADACL3,ENSG00000188984,1,12716110,12728760,+
CFAP107,ENSG00000157330,1,12746200,12763699,+
PRAMEF12,ENSG00000116726,1,12773738,12777906,+
PRAMEF1,ENSG00000116721,1,12791397,12796628,+
LINC01784,ENSG00000228338,1,12822618,12823239,-
PRAMEF11,ENSG00000239810,1,12824605,12831410,-
HNRNPCL1,ENSG00000179172,1,12847377,12848720,-
PRAMEF2,ENSG00000120952,1,12857086,12861909,+
PRAMEF4,ENSG00000243073,1,12879212,12886201,-
PRAMEF10,ENSG00000187545,1,12892250,12898270,-
PRAMEF7,ENSG00000204510,1,12916610,12920751,+
RNU6-1072P,ENSG00000207434,1,12922554,12922660,+
PRAMEF6,ENSG00000232423,1,12938472,12947580,-
PRAMEF27,ENSG00000274764,1,13049476,13056575,-
HNRNPCL3,ENSG00000277058,1,13060769,13062878,+
PRAMEF25,ENSG00000229571,1,13068677,13077884,+
HNRNPCL2,ENSG00000275774,1,13115488,13116854,-
PRAMEF26,ENSG00000280267,1,13148905,13158116,-
HNRNPCL4,ENSG00000179412,1,13163914,13165631,-
PRAMEF9,ENSG00000204505,1,13171848,13179459,+
PRAMEF13,ENSG00000279169,1,13196188,13201409,-
PRAMEF18,ENSG00000279804,1,13222695,13226154,-
PRAMEF5,ENSG00000270601,1,13254198,13263435,+
RNU6-771P,ENSG00000207511,1,13279125,13279231,-
PRAMEF8,ENSG00000182330,1,13281304,13285137,-
PRAMEF33,ENSG00000237700,1,13303539,13308907,+
PRAMEF15,ENSG00000204501,1,13315581,13322598,+
PRAMEF14,ENSG00000204481,1,13341892,13347134,-
PRAMEF19,ENSG00000204480,1,13368431,13371947,-
PRAMEF17,ENSG00000204479,1,13389632,13392629,+
PRAMEF20,ENSG00000204478,1,13410450,13421328,+
LRRC38,ENSG00000162494,1,13474973,13514003,-
PDPN,ENSG00000162493,1,13583465,13617957,+
PRDM2,ENSG00000116731,1,13700188,13825079,+
KAZN,ENSG00000189337,1,13892792,15118043,+
RNU6-1265P,ENSG00000252151,1,14124233,14124335,-
KAZN-AS1,ENSG00000234593,1,14338825,14419973,-
TMEM51-AS1,ENSG00000175147,1,15111815,15153618,-
TMEM51,ENSG00000171729,1,15152498,15220484,+
TMEM51-AS2,ENSG00000204464,1,15164191,15171666,-
FHAD1,ENSG00000142621,1,15236521,15400283,+
EFHD2-AS1,ENSG00000228140,1,15316844,15411229,-
FHAD1-AS1,ENSG00000233485,1,15326680,15343890,-
EFHD2,ENSG00000142634,1,15409849,15430339,+
CTRC,ENSG00000162438,1,15438442,15449242,+
CELA2A,ENSG00000142615,1,15456728,15472091,+
CELA2B,ENSG00000215704,1,15465909,15491395,+
CASP9,ENSG00000132906,1,15490832,15526534,-
DNAJC16,ENSG00000116138,1,15526813,15592379,+
AGMAT,ENSG00000116771,1,15571699,15585078,-
RNU7-179P,ENSG00000252417,1,15608078,15608145,-
DDI2,ENSG00000197312,1,15617458,15669044,+
RSC1A1,ENSG00000215695,1,15659713,15662033,+
PLEKHM2,ENSG00000116786,1,15681461,15734769,+
SLC25A34,ENSG00000162461,1,15736176,15741392,+
SLC25A34-AS1,ENSG00000224459,1,15739759,15749896,-
TMEM82,ENSG00000162460,1,15742499,15747982,+
FBLIM1,ENSG00000162458,1,15756604,15786594,+
SPEN-AS1,ENSG00000179743,1,15770783,15848147,-
UQCRHL,ENSG00000233954,1,15807169,15809348,-
SPEN,ENSG00000065526,1,15836095,15940456,+
ZBTB17,ENSG00000116809,1,15940403,15976132,-
SRARP,ENSG00000183888,1,16004236,16008807,+
HSPB7,ENSG00000173641,1,16014028,16020597,-
CLCNKA,ENSG00000186510,1,16018146,16034109,+
CLCNKB,ENSG00000184908,1,16040252,16057367,+
FAM131C,ENSG00000185519,1,16057769,16073651,-
EPHA2,ENSG00000142627,1,16124337,16156069,-
EPHA2-AS1,ENSG00000227959,1,16155072,16183148,+
ARHGEF19,ENSG00000142632,1,16197854,16212893,-
CPLANE2,ENSG00000132881,1,16231692,16237183,-
FBXO42,ENSG00000037637,1,16246840,16352487,-
SZRD1,ENSG00000055070,1,16352575,16398147,+
SPATA21,ENSG00000187144,1,16387117,16437424,-
NECAP2,ENSG00000157191,1,16440707,16460081,+
LINC01772,ENSG00000226029,1,16460948,16468481,+
RNU1-1,ENSG00000206652,1,16514122,16514285,-
LINC01783,ENSG00000233421,1,16514977,16535707,-
RNU1-6P,ENSG00000277344,1,16534081,16534224,-
NBPF1,ENSG00000219481,1,16562319,16613562,-
RNU1-3,ENSG00000207513,1,16666785,16666948,-
CROCC,ENSG00000058453,1,16740273,16972964,+
RNU1-4,ENSG00000207389,1,16740516,16740679,+
MIR3675,ENSG00000263811,1,16858949,16859021,-
LINC03126,ENSG00000228549,1,16870945,16883659,+
RNU1-5P,ENSG00000277234,1,16873708,16873851,+
RNU1-2,ENSG00000207005,1,16895980,16896143,+
MFAP2,ENSG00000117122,1,16974498,16981616,-
ATP13A2,ENSG00000159363,1,16985958,17011928,-
SDHB,ENSG00000117118,1,17018664,17054151,-
PADI2,ENSG00000117115,1,17066761,17119459,-
LINC02783,ENSG00000204362,1,17189782,17198369,+
PADI1,ENSG00000142623,1,17205128,17246007,+
PADI3,ENSG00000142619,1,17249098,17284233,+
MIR3972,ENSG00000266634,1,17277889,17277975,+
PADI4,ENSG00000159339,1,17308195,17364004,+
PADI6,ENSG00000276747,1,17372196,17401699,+
RCC2,ENSG00000179051,1,17406755,17439772,-
RCC2-AS1,ENSG00000227751,1,17406760,17407382,+
ARHGEF10L,ENSG00000074964,1,17539368,17697876,+
LINC02810,ENSG00000236648,1,17717625,17749978,+
ACTL8,ENSG00000117148,1,17755333,17827063,+
LINC01654,ENSG00000261781,1,18065657,18074412,+
IGSF21,ENSG00000117154,1,18107710,18378483,+
IGSF21-AS1,ENSG00000230035,1,18159971,18179346,-
KLHDC7A,ENSG00000179023,1,18480930,18485974,+
PAX7,ENSG00000009709,1,18630846,18748876,+
TAS1R2,ENSG00000179002,1,18839599,18859660,-
ALDH4A1,ENSG00000159423,1,18871425,18902799,-
MIR4695,ENSG00000265606,1,18883202,18883275,-
MIR1290,ENSG00000221662,1,18897071,18897148,-
IFFO2,ENSG00000169991,1,18904280,18956676,-
UBR4,ENSG00000127481,1,19074510,19210266,-
EMC1-AS1,ENSG00000230424,1,19210330,19240709,+
EMC1,ENSG00000127463,1,19215660,19251552,-
MRTO4,ENSG00000053372,1,19251796,19260128,+
AKR7L,ENSG00000211454,1,19265982,19274194,-
AKR7A3,ENSG00000162482,1,19282496,19288823,-
AKR7A2,ENSG00000053371,1,19301991,19312144,-
RNU6-1099P,ENSG00000200403,1,19305076,19305182,-
SLC66A1,ENSG00000040487,1,19312284,19329300,+
CAPZB,ENSG00000077549,1,19338775,19485600,-
MICOS10,ENSG00000173436,1,19484403,19629821,+
RNU4-28P,ENSG00000201609,1,19510593,19510733,+
MICOS10-DT,ENSG00000235185,1,19566701,19596873,-
NBL1,ENSG00000158747,1,19596979,19658456,+
MICOS10-NBL1,ENSG00000270136,1,19597067,19656927,+
HTR6,ENSG00000158748,1,19664875,19680966,+
TMCO4,ENSG00000162542,1,19682207,19800500,-
RNF186,ENSG00000178828,1,19814029,19815283,-
RNF186-AS1,ENSG00000235434,1,19814354,19819502,+
OTUD3,ENSG00000169914,1,19882395,19912945,+
PLA2G2E,ENSG00000188784,1,19920009,19923617,-
PLA2G2A,ENSG00000188257,1,19975431,19980462,-
PLA2G5,ENSG00000127472,1,20028179,20091911,+
PLA2G2D,ENSG00000117215,1,20111939,20119566,-
PLA2G2F,ENSG00000158786,1,20139323,20150381,+
PLA2G2C,ENSG00000187980,1,20161253,20186518,-
UBXN10,ENSG00000162543,1,20183293,20196050,+
LINC01757,ENSG00000228105,1,20242992,20244664,+
VWA5B1,ENSG00000158816,1,20290875,20359534,+
LINC01141,ENSG00000236963,1,20360579,20439489,-
CAMK2N1,ENSG00000162545,1,20482391,20486210,-
MUL1,ENSG00000090432,1,20499445,20508151,-
FAM43B,ENSG00000183114,1,20552573,20555020,+
CDA,ENSG00000158825,1,20588932,20618908,+
PINK1,ENSG00000158828,1,20633458,20651511,+
MIR6084,ENSG00000284005,1,20633679,20633788,+
PINK1-AS,ENSG00000117242,1,20642657,20652193,-
DDOST,ENSG00000244038,1,20651767,20661544,-
KIF17,ENSG00000117245,1,20664011,20718017,-
SH2D5,ENSG00000189410,1,20719724,20732837,-
HP1BP3,ENSG00000127483,1,20739095,20787323,-
EIF4G3,ENSG00000075151,1,20806292,21177285,-
RNU7-200P,ENSG00000251914,1,20841241,20841302,+
MIR1256,ENSG00000221808,1,20988314,20988432,-
ECE1,ENSG00000117298,1,21217247,21345572,-
ECE1-AS1,ENSG00000231105,1,21293290,21299874,+
NBPF3,ENSG00000142794,1,21440099,21485005,+
ALPL,ENSG00000162551,1,21509397,21578410,+
LINC02596,ENSG00000233431,1,21586472,21591198,+
RAP1GAP,ENSG00000076864,1,21596215,21669846,-
USP48,ENSG00000090686,1,21678298,21783606,-
LDLRAD2,ENSG00000187942,1,21812265,21825225,+
HSPG2,ENSG00000142798,1,21822244,21937310,-
CELA3B,ENSG00000219073,1,21977022,21998642,+
RNU6-1022P,ENSG00000201919,1,21987816,21987919,+
CELA3A,ENSG00000142789,1,22001657,22012542,+
RNU6-776P,ENSG00000201273,1,22010985,22011088,+
LINC01635,ENSG00000228397,1,22023851,22026215,-
LINC00339,ENSG00000218510,1,22024558,22031223,+
CDC42-AS1,ENSG00000285752,1,22028317,22052927,-
CDC42,ENSG00000070831,1,22052627,22101360,+
CDC42-IT1,ENSG00000230068,1,22059197,22064199,+
WNT4,ENSG00000162552,1,22117313,22143969,-
MIR4418,ENSG00000266564,1,22266239,22266300,+
ZBTB40,ENSG00000184677,1,22428838,22531157,+
ZBTB40-IT1,ENSG00000237200,1,22517474,22519708,+
EPHA8,ENSG00000070886,1,22563489,22603595,+
MIR6127,ENSG00000276835,1,22633258,22633366,-
C1QA,ENSG00000173372,1,22635057,22639681,+
C1QC,ENSG00000159189,1,22642558,22648110,+
C1QB,ENSG00000173369,1,22652713,22661637,+
EPHB2,ENSG00000133216,1,22710839,22921500,+
MIR4684,ENSG00000265422,1,22719517,22719598,+
MIR4253,ENSG00000264014,1,22863159,22863226,-
LACTBL1,ENSG00000215906,1,22953043,22972866,-
TEX46,ENSG00000227868,1,23010834,23019100,-
KDM1A,ENSG00000004487,1,23019395,23083693,+
MIR3115,ENSG00000263793,1,23044305,23044372,+
LUZP1,ENSG00000169641,1,23084030,23178152,-
RNU6-514P,ENSG00000206935,1,23162704,23162810,+
RNU6-135P,ENSG00000252578,1,23163953,23164053,+
HTR1D,ENSG00000179546,1,23190178,23217547,-
LINC01355,ENSG00000261326,1,23281307,23287488,-
HNRNPR,ENSG00000125944,1,23303771,23344358,-
ZNF436,ENSG00000125945,1,23359448,23369836,-
ZNF436-AS1,ENSG00000249087,1,23368485,23371858,+
TCEA3,ENSG00000204219,1,23370591,23425169,-
ASAP3,ENSG00000088280,1,23428561,23484637,-
E2F2,ENSG00000007968,1,23506438,23531233,-
ID3,ENSG00000117318,1,23557917,23559883,-
MDS2,ENSG00000197880,1,23581495,23640574,+
RPL11,ENSG00000142676,1,23691685,23696835,+
ELOA-AS1,ENSG00000236810,1,23706901,23778340,-
ELOA,ENSG00000011007,1,23743448,23762059,+
PITHD1,ENSG00000057757,1,23778393,23788232,+
LYPLA2,ENSG00000011009,1,23791110,23795544,+
GALE,ENSG00000117308,1,23795599,23800781,-
HMGCL,ENSG00000117305,1,23801877,23838620,-
FUCA1,ENSG00000179163,1,23845077,23868356,-
CNR2,ENSG00000188822,1,23870515,23913362,-
MIR378F,ENSG00000264926,1,23929070,23929147,+
PNRC2,ENSG00000189266,1,23956839,23963776,+
SRSF10,ENSG00000188529,1,23964347,23980927,-
MYOM3,ENSG00000142661,1,24056035,24112190,-
MYOM3-AS1,ENSG00000230703,1,24066774,24083565,+
IL22RA1,ENSG00000142677,1,24119771,24143165,-
IFNLR1,ENSG00000185436,1,24154168,24187959,-
GRHL3,ENSG00000158055,1,24199558,24364482,+
LINC02800,ENSG00000230023,1,24200214,24221313,+
GRHL3-AS1,ENSG00000232298,1,24307556,24321903,-
STPG1,ENSG00000001460,1,24355886,24416934,-
NIPAL3,ENSG00000001461,1,24413527,24476735,+
RCAN3AS,ENSG00000286061,1,24496254,24556046,-
RCAN3,ENSG00000117602,1,24502340,24541040,+
NCMAP,ENSG00000184454,1,24556076,24609328,+
SRRM1,ENSG00000133226,1,24631716,24673281,+
CLIC4,ENSG00000169504,1,24745342,24844321,+
RNU6-1208P,ENSG00000238482,1,24777873,24777979,-
RUNX3,ENSG00000020633,1,24899511,24965121,-
MIR6731,ENSG00000278034,1,24919345,24919416,-
RUNX3-AS1,ENSG00000229162,1,24961345,24963097,+
MIR4425,ENSG00000264371,1,25023503,25023586,+
LINC02793,ENSG00000285823,1,25041136,25047404,+
SYF2,ENSG00000117614,1,25222276,25232504,-
RSRP1,ENSG00000117616,1,25242248,25338244,-
RHD,ENSG00000187010,1,25272393,25330445,+
TMEM50A,ENSG00000183726,1,25338295,25362362,+
RHCE,ENSG00000188672,1,25362249,25430192,-
MACO1,ENSG00000204178,1,25430853,25500209,+
LDLRAP1,ENSG00000157978,1,25543573,25591200,+
MAN1C1,ENSG00000117643,1,25616791,25786205,+
SELENON,ENSG00000162430,1,25800193,25818221,+
MTFR1L,ENSG00000117640,1,25818640,25832947,+
AUNIP,ENSG00000127423,1,25831913,25859458,-
PAQR7,ENSG00000182749,1,25861484,25875874,-
STMN1,ENSG00000117632,1,25884181,25907237,-
MIR3917,ENSG00000283938,1,25906362,25906454,-
PAFAH2,ENSG00000158006,1,25959767,25999206,-
RNU6-110P,ENSG00000207237,1,25964197,25964300,+
EXTL1,ENSG00000158008,1,26019884,26036464,+
