human_ensembl_id,mouse_ensembl_id,human_gene_symbol,mouse_gene_symbol
ENSG00000253313,ENSMUSG00000028536,C1orf210,2610528J11Rik
ENSG00000100578,ENSMUSG00000034601,KIAA0586,2700049A03Rik
ENSG00000141428,ENSMUSG00000024273,C18orf21,2700062C07Rik
ENSG00000204128,ENSMUSG00000026227,C2orf72,2810459M11Rik
ENSG00000197077,ENSMUSG00000051339,KIAA1671,2900026A02Rik
ENSG00000177025,ENSMUSG00000030385,C19orf18,2900092C05Rik
ENSG00000186132,ENSMUSG00000026388,C2orf76,3110009E18Rik
ENSG00000169609,ENSMUSG00000025102,C15orf40,3110040N11Rik
ENSG00000177354,ENSMUSG00000071540,C10orf71,3425401B19Rik
ENSG00000139351,ENSMUSG00000031125,SYCP3,3830403N18Rik
ENSG00000172244,ENSMUSG00000062822,C5orf34,4833420G17Rik
ENSG00000122203,ENSMUSG00000025871,KIAA1191,4833439L19Rik
ENSG00000179133,ENSMUSG00000026734,C10orf67,4921504E06Rik
ENSG00000155330,ENSMUSG00000036934,C16orf87,4921524J17Rik
ENSG00000187658,ENSMUSG00000020434,C5orf52,4921536K21Rik
ENSG00000203963,ENSMUSG00000028520,C1orf141,4921539E11Rik
ENSG00000187833,ENSMUSG00000091692,C2orf78,4930433I11Rik
ENSG00000274443,ENSMUSG00000067795,C8orf89,4930444P10Rik
ENSG00000179008,ENSMUSG00000021098,C14orf39,4930447C04Rik
ENSG00000167194,ENSMUSG00000045989,C16orf92,4930451I11Rik
ENSG00000179021,ENSMUSG00000059920,C3orf38,4930453N24Rik
ENSG00000166845,ENSMUSG00000044906,C18orf54,4930503L19Rik
ENSG00000204006,ENSMUSG00000060491,C1orf185,4930522H14Rik
ENSG00000235750,ENSMUSG00000090394,KIAA0040,4930523C07Rik
ENSG00000185056,ENSMUSG00000020299,C5orf47,4930524B15Rik
ENSG00000284188,ENSMUSG00000070489,C1orf202,4930527J03Rik
ENSG00000205710,ENSMUSG00000087279,C17orf107,4930544D05Rik
ENSG00000166323,ENSMUSG00000005131,C11orf65,4930550C14Rik
ENSG00000180999,ENSMUSG00000086277,C1orf105,4930558K02Rik
ENSG00000205832,ENSMUSG00000022518,C16orf96,4930562C15Rik
ENSG00000256806,ENSMUSG00000053574,C17orf100,4930563E22Rik
ENSG00000171060,ENSMUSG00000021961,C8orf74,4930578I06Rik
ENSG00000138813,ENSMUSG00000012042,C4orf17,4930579F01Rik
ENSG00000205208,ENSMUSG00000027811,C4orf46,4930579G24Rik
ENSG00000131379,ENSMUSG00000034063,C3orf20,4930590J08Rik
ENSG00000182919,ENSMUSG00000031938,C11orf54,4931406C07Rik
ENSG00000100802,ENSMUSG00000022179,C14orf93,4931414P19Rik
ENSG00000166152,ENSMUSG00000069971,C16orf78,4933402J07Rik
ENSG00000183559,ENSMUSG00000013668,C10orf120,4933402N03Rik
ENSG00000159761,ENSMUSG00000013158,C16orf86,4933405L10Rik
ENSG00000203942,ENSMUSG00000090369,C10orf62,4933411K16Rik
ENSG00000215115,ENSMUSG00000071749,CXorf49,4933412E24Rik
ENSG00000215113,ENSMUSG00000071749,CXorf49B,4933412E24Rik
ENSG00000228486,ENSMUSG00000102416,C2orf92,4933424G06Rik
ENSG00000198920,ENSMUSG00000020807,KIAA0753,4933427D14Rik
ENSG00000157653,ENSMUSG00000058046,C9orf43,4933430I17Rik
ENSG00000143612,ENSMUSG00000027942,C1orf43,4933434E20Rik
ENSG00000100364,ENSMUSG00000036046,KIAA0930,5031439G07Rik
ENSG00000198670,ENSMUSG00000094113,LPA,5430401F13Rik
ENSG00000142686,ENSMUSG00000073755,C1orf216,5730409E04Rik
ENSG00000108666,ENSMUSG00000057181,C17orf75,5730455P16Rik
ENSG00000163138,ENSMUSG00000029089,PACRGL,5730480H06Rik
ENSG00000082213,ENSMUSG00000022195,C5orf22,6030458C11Rik
ENSG00000187997,ENSMUSG00000025573,C17orf99,6030468B19Rik
ENSG00000135709,ENSMUSG00000031824,KIAA0513,6430548M08Rik
ENSG00000125975,ENSMUSG00000074646,C20orf173,6430550D23Rik
ENSG00000088543,ENSMUSG00000037977,C3orf18,6430571L13Rik
ENSG00000196476,ENSMUSG00000032680,C20orf96,6820408C15Rik
ENSG00000215115,ENSMUSG00000046774,CXorf49,8030474K03Rik
ENSG00000215113,ENSMUSG00000046774,CXorf49B,8030474K03Rik
ENSG00000197261,ENSMUSG00000054951,C6orf141,9130008F23Rik
ENSG00000189376,ENSMUSG00000101892,C8orf76,9130401M01Rik
ENSG00000189367,ENSMUSG00000004360,KIAA0408,9330159F19Rik
ENSG00000131591,ENSMUSG00000059939,C1orf159,9430015G10Rik
ENSG00000237489,ENSMUSG00000040139,C10orf143,9430038I01Rik
ENSG00000113583,ENSMUSG00000036275,C5orf15,9530068E07Rik
ENSG00000241852,ENSMUSG00000044551,C8orf58,9930012K11Rik
ENSG00000101440,ENSMUSG00000027596,ASIP,a
ENSG00000162757,ENSMUSG00000079144,C1orf74,A130010J15Rik
ENSG00000121410,ENSMUSG00000022347,A1BG,A1bg
ENSG00000148584,ENSMUSG00000052595,A1CF,A1cf
ENSG00000175899,ENSMUSG00000030111,A2M,A2m
ENSG00000166801,ENSMUSG00000086213,FAM111A,A330040F15Rik
ENSG00000184389,ENSMUSG00000028794,A3GALT2,A3galt2
ENSG00000198912,ENSMUSG00000047613,C1orf174,A430005L14Rik
ENSG00000178665,ENSMUSG00000056014,ZNF713,A430033K04Rik
ENSG00000128274,ENSMUSG00000047878,A4GALT,A4galt
ENSG00000118017,ENSMUSG00000037953,A4GNT,A4gnt
ENSG00000184601,ENSMUSG00000043122,C14orf180,A530016L24Rik
ENSG00000165084,ENSMUSG00000057715,C8orf34,A830018L16Rik
ENSG00000205177,ENSMUSG00000032671,C11orf91,A930018P22Rik
ENSG00000166920,ENSMUSG00000033213,C15orf48,AA467197
ENSG00000182795,ENSMUSG00000042510,C1orf116,AA986860
ENSG00000094914,ENSMUSG00000036678,AAAS,Aaas
ENSG00000081760,ENSMUSG00000029482,AACS,Aacs
ENSG00000114771,ENSMUSG00000027761,AADAC,Aadac
ENSG00000197953,ENSMUSG00000091376,AADACL2,Aadacl2
ENSG00000188984,ENSMUSG00000078507,AADACL3,Aadacl3
ENSG00000204518,ENSMUSG00000070609,AADACL4,Aadacl4
ENSG00000204518,ENSMUSG00000028593,AADACL4,Aadacl4fm1
ENSG00000204518,ENSMUSG00000041735,AADACL4,AAdacl4fm3
ENSG00000204518,ENSMUSG00000078505,AADACL4,Aadacl4fm4
ENSG00000204518,ENSMUSG00000078504,AADACL4,Aadacl4fm5
ENSG00000109576,ENSMUSG00000057228,AADAT,Aadat
ENSG00000103591,ENSMUSG00000037257,AAGAB,Aagab
ENSG00000115977,ENSMUSG00000057230,AAK1,Aak1
ENSG00000087884,ENSMUSG00000035642,AAMDC,Aamdc
ENSG00000127837,ENSMUSG00000006299,AAMP,Aamp
ENSG00000129673,ENSMUSG00000020804,AANAT,Aanat
ENSG00000131043,ENSMUSG00000027628,AAR2,Aar2
ENSG00000205002,ENSMUSG00000068522,AARD,Aard
ENSG00000090861,ENSMUSG00000031960,AARS1,Aars1
ENSG00000124608,ENSMUSG00000023938,AARS2,Aars2
ENSG00000266967,ENSMUSG00000075528,AARSD1,Aarsd1
ENSG00000157426,ENSMUSG00000055923,AASDH,Aasdh
ENSG00000149313,ENSMUSG00000025894,AASDHPPT,Aasdhppt
ENSG00000008311,ENSMUSG00000029695,AASS,Aass
ENSG00000275700,ENSMUSG00000018697,AATF,Aatf
ENSG00000181409,ENSMUSG00000025375,AATK,Aatk
ENSG00000214212,ENSMUSG00000057191,C19orf38,AB124611
ENSG00000183044,ENSMUSG00000057880,ABAT,Abat
ENSG00000165029,ENSMUSG00000015243,ABCA1,Abca1
ENSG00000144452,ENSMUSG00000050296,ABCA12,Abca12
ENSG00000179869,ENSMUSG00000004668,ABCA13,Abca13
ENSG00000107331,ENSMUSG00000026944,ABCA2,Abca2
ENSG00000167972,ENSMUSG00000024130,ABCA3,Abca3
ENSG00000198691,ENSMUSG00000028125,ABCA4,Abca4
ENSG00000154265,ENSMUSG00000018800,ABCA5,Abca5
ENSG00000154262,ENSMUSG00000044749,ABCA6,Abca6
ENSG00000064687,ENSMUSG00000035722,ABCA7,Abca7
ENSG00000141338,ENSMUSG00000020620,ABCA8,Abca8b
ENSG00000154258,ENSMUSG00000041797,ABCA9,Abca9
ENSG00000135776,ENSMUSG00000031974,ABCB10,Abcb10
ENSG00000073734,ENSMUSG00000027048,ABCB11,Abcb11
ENSG00000085563,ENSMUSG00000040584,ABCB1,Abcb1a
ENSG00000085563,ENSMUSG00000028970,ABCB1,Abcb1b
ENSG00000005471,ENSMUSG00000042476,ABCB4,Abcb4
ENSG00000004846,ENSMUSG00000072791,ABCB5,Abcb5
ENSG00000115657,ENSMUSG00000026198,ABCB6,Abcb6
ENSG00000131269,ENSMUSG00000031333,ABCB7,Abcb7
ENSG00000197150,ENSMUSG00000028973,ABCB8,Abcb8
ENSG00000150967,ENSMUSG00000029408,ABCB9,Abcb9
ENSG00000103222,ENSMUSG00000023088,ABCC1,Abcc1
ENSG00000124574,ENSMUSG00000032842,ABCC10,Abcc10
ENSG00000140798,ENSMUSG00000036872,ABCC12,Abcc12
ENSG00000023839,ENSMUSG00000025194,ABCC2,Abcc2
ENSG00000108846,ENSMUSG00000020865,ABCC3,Abcc3
ENSG00000125257,ENSMUSG00000032849,ABCC4,Abcc4
ENSG00000114770,ENSMUSG00000022822,ABCC5,Abcc5
ENSG00000091262,ENSMUSG00000030834,ABCC6,Abcc6
ENSG00000006071,ENSMUSG00000040136,ABCC8,Abcc8
ENSG00000069431,ENSMUSG00000030249,ABCC9,Abcc9
ENSG00000101986,ENSMUSG00000031378,ABCD1,Abcd1
ENSG00000173208,ENSMUSG00000055782,ABCD2,Abcd2
ENSG00000117528,ENSMUSG00000028127,ABCD3,Abcd3
ENSG00000119688,ENSMUSG00000021240,ABCD4,Abcd4
ENSG00000164163,ENSMUSG00000058355,ABCE1,Abce1
ENSG00000204574,ENSMUSG00000038762,ABCF1,Abcf1
ENSG00000033050,ENSMUSG00000028953,ABCF2,Abcf2
ENSG00000161204,ENSMUSG00000003234,ABCF3,Abcf3
ENSG00000160179,ENSMUSG00000024030,ABCG1,Abcg1
ENSG00000118777,ENSMUSG00000029299,ABCG2,Abcg3
ENSG00000172350,ENSMUSG00000032131,ABCG4,Abcg4
ENSG00000138075,ENSMUSG00000040505,ABCG5,Abcg5
ENSG00000143921,ENSMUSG00000024254,ABCG8,Abcg8
ENSG00000143994,ENSMUSG00000006638,ABHD1,Abhd1
ENSG00000144827,ENSMUSG00000033157,ABHD10,Abhd10
ENSG00000106077,ENSMUSG00000040532,ABHD11,Abhd11
ENSG00000100997,ENSMUSG00000032046,ABHD12,Abhd12
ENSG00000131969,ENSMUSG00000090121,ABHD12B,Abhd12b
ENSG00000139826,ENSMUSG00000040396,ABHD13,Abhd13
ENSG00000248487,ENSMUSG00000042210,ABHD14A,Abhd14a
ENSG00000114779,ENSMUSG00000042073,ABHD14B,Abhd14b
ENSG00000168792,ENSMUSG00000000686,ABHD15,Abhd15
ENSG00000204427,ENSMUSG00000007036,ABHD16A,Abhd16a
ENSG00000183260,ENSMUSG00000055882,ABHD16B,Abhd16b
ENSG00000129968,ENSMUSG00000003346,ABHD17A,Abhd17a
ENSG00000107362,ENSMUSG00000047368,ABHD17B,Abhd17b
ENSG00000136379,ENSMUSG00000038459,ABHD17C,Abhd17c
ENSG00000164074,ENSMUSG00000037818,ABHD18,Abhd18
ENSG00000140526,ENSMUSG00000039202,ABHD2,Abhd2
ENSG00000158201,ENSMUSG00000002475,ABHD3,Abhd3
ENSG00000100439,ENSMUSG00000040997,ABHD4,Abhd4
ENSG00000011198,ENSMUSG00000032540,ABHD5,Abhd5
ENSG00000163686,ENSMUSG00000025277,ABHD6,Abhd6
ENSG00000127220,ENSMUSG00000007950,ABHD8,Abhd8
ENSG00000136754,ENSMUSG00000058835,ABI1,Abi1
ENSG00000138443,ENSMUSG00000026782,ABI2,Abi2
ENSG00000108798,ENSMUSG00000018381,ABI3,Abi3
ENSG00000154175,ENSMUSG00000035258,ABI3BP,Abi3bp
ENSG00000119328,ENSMUSG00000038827,ABITRAM,Abitram
ENSG00000097007,ENSMUSG00000026842,ABL1,Abl1
ENSG00000143322,ENSMUSG00000026596,ABL2,Abl2
ENSG00000099204,ENSMUSG00000025085,ABLIM1,Ablim1
ENSG00000163995,ENSMUSG00000029095,ABLIM2,Ablim2
ENSG00000173210,ENSMUSG00000032735,ABLIM3,Ablim3
ENSG00000175164,ENSMUSG00000015787,ABO,Abo
ENSG00000159842,ENSMUSG00000017631,ABR,Abr
ENSG00000174429,ENSMUSG00000042895,ABRA,Abra
ENSG00000146386,ENSMUSG00000078453,ABRACL,Abracl
ENSG00000163322,ENSMUSG00000035234,ABRAXAS1,Abraxas1
ENSG00000165660,ENSMUSG00000030965,ABRAXAS2,Abraxas2
ENSG00000146109,ENSMUSG00000036376,ABT1,Abt1
ENSG00000114626,ENSMUSG00000030083,ABTB1,Abtb1
ENSG00000166016,ENSMUSG00000032724,ABTB2,Abtb2
ENSG00000151136,ENSMUSG00000020042,ABTB3,Abtb3
ENSG00000060971,ENSMUSG00000036138,ACAA1,Acaa1a
ENSG00000060971,ENSMUSG00000010651,ACAA1,Acaa1b
ENSG00000167315,ENSMUSG00000036880,ACAA2,Acaa2
ENSG00000278540,ENSMUSG00000020532,ACACA,Acaca
ENSG00000076555,ENSMUSG00000042010,ACACB,Acacb
ENSG00000111271,ENSMUSG00000029456,ACAD10,Acad10
ENSG00000240303,ENSMUSG00000090150,ACAD11,Acad11
ENSG00000111271,ENSMUSG00000042647,ACAD10,Acad12
ENSG00000151498,ENSMUSG00000031969,ACAD8,Acad8
ENSG00000177646,ENSMUSG00000027710,ACAD9,Acad9
ENSG00000115361,ENSMUSG00000026003,ACADL,Acadl
ENSG00000117054,ENSMUSG00000062908,ACADM,Acadm
ENSG00000122971,ENSMUSG00000029545,ACADS,Acads
ENSG00000196177,ENSMUSG00000030861,ACADSB,Acadsb
ENSG00000072778,ENSMUSG00000018574,ACADVL,Acadvl
ENSG00000157766,ENSMUSG00000030607,ACAN,Acan
ENSG00000072818,ENSMUSG00000001588,ACAP1,Acap1
ENSG00000114331,ENSMUSG00000049076,ACAP2,Acap2
ENSG00000131584,ENSMUSG00000029033,ACAP3,Acap3
ENSG00000075239,ENSMUSG00000032047,ACAT1,Acat1
ENSG00000120437,ENSMUSG00000023832,ACAT2,Acat2
ENSG00000120437,ENSMUSG00000062480,ACAT2,Acat3
ENSG00000182827,ENSMUSG00000026499,ACBD3,Acbd3
ENSG00000181513,ENSMUSG00000056938,ACBD4,Acbd4
ENSG00000107897,ENSMUSG00000026781,ACBD5,Acbd5
ENSG00000230124,ENSMUSG00000033701,ACBD6,Acbd6
ENSG00000176244,ENSMUSG00000026644,ACBD7,Acbd7
ENSG00000110455,ENSMUSG00000040272,ACCS,Accs
ENSG00000205126,ENSMUSG00000075023,ACCSL,Accsl
ENSG00000102977,ENSMUSG00000038000,ACD,Acd
ENSG00000159640,ENSMUSG00000020681,ACE,Ace
ENSG00000130234,ENSMUSG00000015405,ACE2,Ace2
ENSG00000167769,ENSMUSG00000045019,ACER1,Acer1
ENSG00000177076,ENSMUSG00000038007,ACER2,Acer2
ENSG00000078124,ENSMUSG00000030760,ACER3,Acer3
ENSG00000087085,ENSMUSG00000023328,ACHE,Ache
ENSG00000100813,ENSMUSG00000022185,ACIN1,Acin1
ENSG00000213088,ENSMUSG00000037872,ACKR1,Ackr1
ENSG00000144648,ENSMUSG00000044534,ACKR2,Ackr2
ENSG00000144476,ENSMUSG00000044337,ACKR3,Ackr3
ENSG00000129048,ENSMUSG00000079355,ACKR4,Ackr4
ENSG00000131473,ENSMUSG00000020917,ACLY,Acly
ENSG00000153086,ENSMUSG00000026348,ACMSD,Acmsd
ENSG00000122729,ENSMUSG00000028405,ACO1,Aco1
ENSG00000100412,ENSMUSG00000022477,ACO2,Aco2
ENSG00000102794,ENSMUSG00000022126,ACOD1,Acod1
ENSG00000184227,ENSMUSG00000072949,ACOT1,Acot1
ENSG00000119673,ENSMUSG00000072949,ACOT2,Acot1
ENSG00000123130,ENSMUSG00000047565,ACOT9,Acot10
ENSG00000162390,ENSMUSG00000034853,ACOT11,Acot11
ENSG00000172497,ENSMUSG00000021620,ACOT12,Acot12
ENSG00000112304,ENSMUSG00000006717,ACOT13,Acot13
ENSG00000184227,ENSMUSG00000021226,ACOT1,Acot2
ENSG00000119673,ENSMUSG00000021226,ACOT2,Acot2
ENSG00000184227,ENSMUSG00000021228,ACOT1,Acot3
ENSG00000119673,ENSMUSG00000021228,ACOT2,Acot3
ENSG00000177465,ENSMUSG00000052392,ACOT4,Acot4
ENSG00000184227,ENSMUSG00000042540,ACOT1,Acot5
ENSG00000119673,ENSMUSG00000042540,ACOT2,Acot5
ENSG00000205669,ENSMUSG00000043487,ACOT6,Acot6
ENSG00000097021,ENSMUSG00000028937,ACOT7,Acot7
ENSG00000101473,ENSMUSG00000017307,ACOT8,Acot8
ENSG00000123130,ENSMUSG00000025287,ACOT9,Acot9
ENSG00000161533,ENSMUSG00000020777,ACOX1,Acox1
ENSG00000168306,ENSMUSG00000021751,ACOX2,Acox2
ENSG00000087008,ENSMUSG00000029098,ACOX3,Acox3
ENSG00000153093,ENSMUSG00000027380,ACOXL,Acoxl
ENSG00000143727,ENSMUSG00000044573,ACP1,Acp1
ENSG00000134575,ENSMUSG00000002103,ACP2,Acp2
ENSG00000014257,ENSMUSG00000032561,ACP3,Acp3
ENSG00000142513,ENSMUSG00000012777,ACP4,Acp4
ENSG00000102575,ENSMUSG00000001348,ACP5,Acp5
ENSG00000162836,ENSMUSG00000028093,ACP6,Acp6
ENSG00000183760,ENSMUSG00000037469,ACP7,Acp7
ENSG00000100312,ENSMUSG00000022622,ACR,Acr
ENSG00000111644,ENSMUSG00000072770,ACRBP,Acrbp
ENSG00000134940,ENSMUSG00000032110,ACRV1,Acrv1
ENSG00000103740,ENSMUSG00000032281,ACSBG1,Acsbg1
ENSG00000130377,ENSMUSG00000024207,ACSBG2,Acsbg2
ENSG00000167107,ENSMUSG00000076435,ACSF2,Acsf2
ENSG00000176715,ENSMUSG00000015016,ACSF3,Acsf3
ENSG00000151726,ENSMUSG00000018796,ACSL1,Acsl1
ENSG00000123983,ENSMUSG00000032883,ACSL3,Acsl3
ENSG00000068366,ENSMUSG00000031278,ACSL4,Acsl4
ENSG00000197142,ENSMUSG00000024981,ACSL5,Acsl5
ENSG00000164398,ENSMUSG00000020333,ACSL6,Acsl6
ENSG00000166743,ENSMUSG00000033533,ACSM1,Acsm1
ENSG00000183747,ENSMUSG00000030945,ACSM2A,Acsm2
ENSG00000066813,ENSMUSG00000030945,ACSM2B,Acsm2
ENSG00000005187,ENSMUSG00000030935,ACSM3,Acsm3
ENSG00000215009,ENSMUSG00000047026,ACSM4,Acsm4
ENSG00000183549,ENSMUSG00000030972,ACSM5,Acsm5
ENSG00000154930,ENSMUSG00000027452,ACSS1,Acss1
ENSG00000131069,ENSMUSG00000027605,ACSS2,Acss2
ENSG00000111058,ENSMUSG00000035948,ACSS3,Acss3
ENSG00000143632,ENSMUSG00000031972,ACTA1,Acta1
ENSG00000107796,ENSMUSG00000035783,ACTA2,Acta2
ENSG00000075624,ENSMUSG00000029580,ACTB,Actb
ENSG00000169067,ENSMUSG00000055194,ACTBL2,Actbl2
ENSG00000159251,ENSMUSG00000068614,ACTC1,Actc1
ENSG00000184009,ENSMUSG00000062825,ACTG1,Actg1
ENSG00000163017,ENSMUSG00000059430,ACTG2,Actg2
ENSG00000288649,ENSMUSG00000078129,ACTL10,Actl10
ENSG00000136518,ENSMUSG00000027671,ACTL6A,Actl6a
ENSG00000077080,ENSMUSG00000029712,ACTL6B,Actl6b
ENSG00000187003,ENSMUSG00000070979,ACTL7A,Actl7a
ENSG00000148156,ENSMUSG00000070980,ACTL7B,Actl7b
ENSG00000181786,ENSMUSG00000092519,ACTL9,Actl9
ENSG00000188493,ENSMUSG00000078786,ACTMAP,Actmap
ENSG00000072110,ENSMUSG00000015143,ACTN1,Actn1
ENSG00000077522,ENSMUSG00000052374,ACTN2,Actn2
ENSG00000248746,ENSMUSG00000006457,ACTN3,Actn3
ENSG00000130402,ENSMUSG00000054808,ACTN4,Actn4
ENSG00000131966,ENSMUSG00000021076,ACTR10,Actr10
ENSG00000138107,ENSMUSG00000025228,ACTR1A,Actr1a
ENSG00000115073,ENSMUSG00000037351,ACTR1B,Actr1b
ENSG00000138071,ENSMUSG00000020152,ACTR2,Actr2
ENSG00000115091,ENSMUSG00000026341,ACTR3,Actr3
ENSG00000133627,ENSMUSG00000056367,ACTR3B,Actr3b
ENSG00000106526,ENSMUSG00000056367,ACTR3C,Actr3b
ENSG00000101442,ENSMUSG00000037761,ACTR5,Actr5
ENSG00000075089,ENSMUSG00000019948,ACTR6,Actr6
ENSG00000113812,ENSMUSG00000015971,ACTR8,Actr8
ENSG00000123165,ENSMUSG00000046615,ACTRT1,Actrt1
ENSG00000169717,ENSMUSG00000051276,ACTRT2,Actrt2
ENSG00000184378,ENSMUSG00000037737,ACTRT3,Actrt3
ENSG00000115170,ENSMUSG00000026836,ACVR1,Acvr1
ENSG00000135503,ENSMUSG00000000532,ACVR1B,Acvr1b
ENSG00000123612,ENSMUSG00000026834,ACVR1C,Acvr1c
ENSG00000121989,ENSMUSG00000052155,ACVR2A,Acvr2a
ENSG00000114739,ENSMUSG00000061393,ACVR2B,Acvr2b
ENSG00000139567,ENSMUSG00000000530,ACVRL1,Acvrl1
ENSG00000243989,ENSMUSG00000023262,ACY1,Acy1
ENSG00000132744,ENSMUSG00000024866,ACY3,Acy3
ENSG00000170634,ENSMUSG00000060923,ACYP2,Acyp2
ENSG00000196839,ENSMUSG00000017697,ADA,Ada
ENSG00000164113,ENSMUSG00000027719,ADAD1,Adad1
ENSG00000140955,ENSMUSG00000024266,ADAD2,Adad2
ENSG00000168803,ENSMUSG00000027259,MAPDA,Adal
ENSG00000137845,ENSMUSG00000054693,ADAM10,Adam10
ENSG00000073670,ENSMUSG00000020926,ADAM11,Adam11
ENSG00000148848,ENSMUSG00000054555,ADAM12,Adam12
ENSG00000143537,ENSMUSG00000028041,ADAM15,Adam15
ENSG00000151694,ENSMUSG00000052593,ADAM17,Adam17
ENSG00000168619,ENSMUSG00000031552,ADAM18,Adam18
ENSG00000104755,ENSMUSG00000022039,ADAM2,Adam2
